example_type,reference,raw_asr_input,pipeline_output,what_changed,decision,reasoning,wer_before,wer_after,wer_impact
Number Normalization - Correct Conversion (REAL DATA),उनकी एक किताब है दरू उनकी एक किताब है दरू डेस्क बुक एवर वो आत्म सहायता के लिए एक बहुत अच्छी बुक है,उनकी एक किताब है दरुदस बुकेवर के अद्म साहिता के लिए एक बहुत अच्छी बुक है,उनकी 1 किताब है दरुदस बुकेवर के अद्म साहिता के लिए 1 बहुत अच्छी बुक है,'एक' → 1,CONVERT,CONVERTED: 'एक' → 1 (simple) | 'एक' → 1 (simple). Hindi number words converted to digits.,52.17,60.87,NORMALIZATION HURT: WER worsened by 8.7%. Reference uses Hindi number words — converting to digits caused format mismatch. Shows normalization is not always beneficial.
Number Normalization - Correct Conversion (REAL DATA),"जी, ये तो होता ही है, जैसे की बचपन में बात अलग था किसी के पास फोन नहीं था तब उतना फोन का जमाना ही नहीं था, अभी क्या है कि फोन का जमाना हो गया तो फोन में ही सब रहते हैं",ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब एक आए कि फों का जमान हो गया तो फों में सब रहते हैं,ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब 1 आए कि फों का जमान हो गया तो फों में सब रहते हैं,'एक' → 1,CONVERT,CONVERTED: 'एक' → 1 (simple). Hindi number words converted to digits.,65.12,65.12,No WER change — no number words present in this utterance.
Number Normalization - Correct Conversion (REAL DATA),जी हाँ मतलब इंग्लिश पे एक कारण हो सकता है मतलब उसका,जी अग्लिश पे एक कार्लन हो सकता हैं मगलिश का,जी अग्लिश पे 1 कार्लन हो सकता हैं मगलिश का,'एक' → 1,CONVERT,CONVERTED: 'एक' → 1 (simple). Hindi number words converted to digits.,58.33,66.67,NORMALIZATION HURT: WER worsened by 8.3%. Reference uses Hindi number words — converting to digits caused format mismatch. Shows normalization is not always beneficial.
Number Normalization - Correct Conversion (REAL DATA),हां और बताओ घर पे सब ठीक है घर पे सब ठीक है बढ़िया एकदम फर्स्ट क्लास हेलो खुशी रहो अच्छा है बढ़िया है कैसी होती है मैरिज लाइफ ज़्यादा अच्छी होती है अनमैरिज लाइफ ज़्यादा अच्छी होती है,"अर बताओ, गर पे सब ठीके हैं गर पे सब ठीके हैं बड़िया एक दंब पस्कलास च़ा लो खोची रहो अच्छा है बड़िया कैसी हुती हैं मरिज लाईज जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद","अर बताओ, गर पे सब ठीके हैं गर पे सब ठीके हैं बड़िया 1 दंब पस्कलास च़ा लो खोची रहो अच्छा है बड़िया कैसी हुती हैं मरिज लाईज जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद जोद",'एक' → 1,CONVERT,CONVERTED: 'एक' → 1 (simple). Hindi number words converted to digits.,105.13,105.13,No WER change — no number words present in this utterance.
Number Normalization - Correct Conversion (REAL DATA),जी जी अह जैसा हमने एक लाइन सुनी होगी कि दिल का रास्ता पेट से होके जाता है तो मतलब खाना तो सबको पसंद हांजी तो खाना तो सबको पसंद ही आता है मतलब एक खाना ही चीज होती है जो इंसान को पिघला देती है,जी जी आज़े सा हमने एक लाईन सूनी होगी कि दिलका रास्ता पेट से होगे जाता हैं तो मिलग खाना तो सब को पसंदी हैं तो खाना तो सब को पसंदी आता है यों एक खाना ही जी जी जी होती हैं जो अई अँँँँँँँँँँँँँँँँँँँँँँँँँँ�,जी जी आज़े सा हमने 1 लाईन सूनी होगी कि दिलका रास्ता पेट से होगे जाता हैं तो मिलग खाना तो सब को पसंदी हैं तो खाना तो सब को पसंदी आता है यों 1 खाना ही जी जी जी होती हैं जो अई अँँँँँँँँँँँँँँँँँँँँँँँँँँ�,'एक' → 1,CONVERT,CONVERTED: 'एक' → 1 (simple) | 'एक' → 1 (simple). Hindi number words converted to digits.,56.52,60.87,NORMALIZATION HURT: WER worsened by 4.3%. Reference uses Hindi number words — converting to digits caused format mismatch. Shows normalization is not always beneficial.
Edge Case - Judgment Call (REAL DATA),तो ऐसे लग रहा था सर जैसे कि ये सब कुछ अपने से एकदम दूर हो रहा है। आज लास्ट दिन है। इसको जितना जिया जाए। उतना जी लो मतलब काफी इमोशनल था वो और मतलब।,तो आज़े लग रा था सर जैसे की यह सब कुछ आपने से एक दम दूर हो रहा है आज लास्ट दीनेएस को जितना जी आज़ा यो तना जी लों मलग़ काफी एमोसनल ता हो और मलग़ लग,तो आज़े लग रा था सर जैसे की यह सब कुछ आपने से एक दम दूर हो रहा है आज लास्ट दीनेएस को जितना जी आज़ा यो तना जी लों मलग़ काफी एमोसनल ता हो और मलग़ लग,No conversion applied,KEEP,"EDGE CASE - KEPT AS-IS: 'एक दम' is a frozen idiom (e.g. दो-चार = 'a few', एक बार = 'once'). Converting would destroy idiomatic meaning.",61.11,61.11,No WER change — no number words present in this utterance.
Edge Case - Judgment Call (REAL DATA),बना के उसको जिस तरीके से कार्टून में वो चित्र की तरह बना के प्रस्तूत करते थे जो बहुत रोचक लगता था और उसी में वो जैसा आप बता रहे हैं कि वो टेक्स्ट लिख देते थे जो मतलब जो दो पातरों के बीच की जो बारतलाप हो रही है,अगर बदानके जिस तरीके से काटून में उ चित्र की तुरह बनांके प्रस्थूट करतेते तो वोगत रोचक लकता ता उसी में वो जिसा बतारेंगे वो तेक्स्त लिख देते तेंग जो भार्तलाप वोरी एक दो पातरों के बीज की जो बार्तलाप हो रही है,अगर बदानके जिस तरीके से काटून में उ चित्र की तुरह बनांके प्रस्थूट करतेते तो वोगत रोचक लकता ता उसी में वो जिसा बतारेंगे वो तेक्स्त लिख देते तेंग जो भार्तलाप वोरी एक दो पातरों के बीज की जो बार्तलाप हो रही है,No conversion applied,KEEP,"EDGE CASE - KEPT AS-IS: 'एक दो' is a frozen idiom (e.g. दो-चार = 'a few', एक बार = 'once'). Converting would destroy idiomatic meaning.",58.0,58.0,No WER change — no number words present in this utterance.
English Word Detection (REAL DATA),हु हु मुझे भी ऐसा होता है कभीकभी खास करके जब मैं मेट्रो या पब्लिक बस में ट्रैवल करता हूं,"अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक बस में ताओल करता हूँ","अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक [EN]बस[/EN] में ताओल करता हूँ",Tagged: ['बस'],TAG,"'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER).",65.0,65.0,No WER change — no number words present in this utterance.
English Word Detection (REAL DATA),टिप करो उसके बाद अभी जो अपना करियर बनाने के लिए अपनी दिनचर्या है उसको और थोड़ा स्ट्रॉन्ग बनाओ बस यही है और क्या है,अब आपी जो आपना करीर वनाने के लिए जिंचरी आप वो और तोडा इस्ट्रोंग वनाउ बस यह आप यह और कै,अब आपी जो आपना करीर वनाने के लिए जिंचरी आप वो और तोडा इस्ट्रोंग वनाउ [EN]बस[/EN] यह आप यह और कै,Tagged: ['बस'],TAG,"'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER).",80.0,80.0,No WER change — no number words present in this utterance.
English Word Detection (REAL DATA),"कभी अब अगर आपकी बस और ट्रेन छूट जाए तो परिवार वाले परेशान रहते हैं, तो आप एक बार फोन लगा कि उन्हें बता देनी चाहिए, कि मेरी बस छूट गई है तो मुझे थोड़ी देर हो सक.",अप आप भी अप भी बस प्रेंट थुट जाए तो परिवावार बादिशान अप आप ये पार फोंट लगा तो ने बता देनी चाहीं कि मेरी बस चुट गये यह तो मुझे थोडी देज हो सकते हैं।,अप आप भी अप भी [EN]बस[/EN] प्रेंट थुट जाए तो परिवावार बादिशान अप आप ये पार फोंट लगा तो ने बता देनी चाहीं कि मेरी [EN]बस[/EN] चुट गये यह तो मुझे थोडी देज हो सकते हैं।,"Tagged: ['बस', 'बस']",TAG,"'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER). | 'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER).",71.05,71.05,No WER change — no number words present in this utterance.
English Word Detection (REAL DATA),ठीक है फिर यह बात आ जाती है तो अगर हम इस चीज के बारे में बात कर कुछ कुछ टेस्ट में मानती हूं कि हमारा लक भी होता है लेकिन जैसे एस बी आई के एग्जाम हो जाते है है ना,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है है लेकिन जैसे SBI के जैम हो जाते है है,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है,"Tagged: ['SBI', 'SBI', 'SBI', 'SBI']",TAG,'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman.,104.76,104.76,No WER change — no number words present in this utterance.
English Word Detection (REAL DATA),तो बस इतनी आई आपके जीवन में हू हू हूं हूं बढ़िया है फिर उ उस उनके सामना कैसे डटे,तो बस इतनी आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईई आईई आईई आईई आईई आईई आई,तो [EN]बस[/EN] इतनी आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईए आईई आईई आईई आईई आईई आईई आई,Tagged: ['बस'],TAG,"'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER).",180.0,180.0,No WER change — no number words present in this utterance.
